	product_Nom	product_Marque	product_Categorie	product_Prix
66	VICHY HOMME MOUSSE DE RASAGE ANTI-IRRITATIONS 200ML	VICHY	Homme	114.84
67	LA ROCHE POSAY EFFACLAR DUO+ 40ML PROMOTION	LA ROCHE POSAY	Visage Femme	154.44
68	LA ROCHE POSAY EFFACLAR GEL MOUSSANT PURIFIANT 400ML	LA ROCHE POSAY	Corps , Visage Femme	201.96
69	ELGYDIUM ANTIPLAQUE DENTIFRICE 75ML	ELGYDIUM	Homme , Dentaire Femme	32.36
70	ELGYDIUM BROSSE KIDS FIRST ICE AGE 2-6ANS	ELGYDIUM	Enfant	39.4
71	SENSIKIN PATE DENTIFRICE 75ML	Autres	Homme , Dentaire Femme	56.7
72	SENSIKIN GEL 15ML	Autres	Homme , Dentaire Femme	52.02
73	AVENT CLASSIC+ TETINES +6MOIS+ TAILLE 4 BOITE DE 2 REFERENCE SCF634/27 	AVENT	Espace b̩b̩ et maman	62.96
74	ADERMA PAIN SURGRAS 100G	ADERMA	Visage Femme	48.42
75	PERIOKIN SPRAY 40ML	Autres	Homme , Dentaire Femme	65.25
76	SENSIKIN BAIN DE BOUCHE 250ML	Autres	Femme	67.95
77	KLORANE BEBE SAVON SURGRAS TRES DOUX 250G	KLORANE	Espace b̩b̩ et maman	51.16
78	BIOFAR CALCIUM VITAMIN D3 BOITE DE 20 COMPRIMES EFFERVESCENTS	Autres	Homme , Complement alimentaire Femme	58.65
79	BIOFAR KIDS MULTIVITAMINES BOITE DE 20 COMPRIMES EFFERVESCENTS	Autres	Enfant	80.75
80	ADDAX SEPTIDOL PH5 GEL INTIME 125ML	ADDAX	Hygiene	42.21
81	STERIMAR HYGIENE DU NEZ 50ML ISOTONIC 	STERIMAR	Femme , Enfant , Homme	69.87
82	ADDAX SEPTIDOL PH8 GEL INTIME 125ML	ADDAX	Hygiene , Corps	42.21
83	BIOFAR ACE SELENIUM-ZINC BOITE DE 20 COMPRIMES EFFERVESCENTS	Autres	Homme , Complement alimentaire Femme	75.65
84	ADDAX SANIBACTER 125ML	ADDAX	Corps	74.1
85	OSTEOCARE CALCIUM MAGNESIUM VIAMIN D3 BOITE DE 30 REFERENCE VIT003	Autres	Homme , Complement alimentaire Femme	85.88
86	DUCRAY KELUAL EMULSION CROUTES DE LAIT DU NOURRISSON 50ML	DUCRAY	Cheveux , Visage Femme	91.45
87	DUCRAY SQUANORM LOTION ANTI-PELLICULAIRE AU ZINC DEMANGEAISONS 200ML	DUCRAY	Homme , Cheveux	94.84
88	ADDAX SEPTIDOL PH8 GEL INTIME 250ML	ADDAX	Hygiene	85.76
89	ADDAX SEPTIDOL PH5 GEL INTIME 250ML	Autres	Hygiene	66.5
90	EUCERIN CREME PIEDS REPARATRICE 10% UREE PEAU SECHE 100ML	EUCERIN	Corps	104.52
91	ADDAX BACTOSPRAY SOLUTION ANTISEPTIQUE 125ML	ADDAX	Corps	101.01
92	KLORANE CAMOMILLE SHAMPOOING 400ML	KLORANE	Homme , Cheveux	109.2
93	EUCERIN CREME VISAGE EMOLLIENTE 5% UREE PEAU SECHE 50ML	EUCERIN	Visage Femme	117.0
94	ADDAX PIEDS CALLOSITES KERACID 50ML 	Autres	Corps	103.35
95	KLORANE BEBE CREME NUTRITIVE AU COLD CREAM 40ML	KLORANE	Espace b̩b̩ et maman , Enfant	62.27
96	LERO PHANERES BOITE DE 30 CAPSULES	LERO	Femme	101.5
97	KALINE K-SUN ECRAN SOLAIRE INVISIBLE SPF50+ 50ML	KALINE	Solaire Femme	128.18
98	ADDAX CICA B5 EMULSION REPARATRICE 50ML	ADDAX	Corps , Visage Femme	121.55
99	LERO BASE BOITE DE 42 CAPSULES	LERO	Homme , Complement alimentaire Femme	119.0
100	PERFECTIL PEAU CHEVEUX ET ONGLES BOITE DE 30 COMPRIMES	Autres	Femme	131.01
101	BIODERMA PHOTODERM MAX SPF100 CREME TEINTE DOREE 40ML	BIODERMA	Solaire Femme	150.15
102	BIODERMA PHOTODERM MAX SPF100 CREME 40ML	BIODERMA	Solaire Femme	150.15
103	LERO NATALIENCE GROSSESSE BOITE DE 30 CAPSULES	LERO	Femme	195.0
104	BIODERMA PHOTODERM AR SPF50+ CREME TEINTE NATURELLE 30ML	BIODERMA	Solaire Femme	150.15
105	BIODERMA PHOTODERM MAX SPF100 CREME TEINTE CLAIRE 40ML	BIODERMA	Solaire Femme	150.15
106	FORCAPIL CHEVEUX ET ONGLES BOITE DE 60 GELULES	FORCAPIL	Complement alimentaire Femme	163.8
107	ACM SENSITELIAL ECRAN SPF50+ INVISIBLE	ACM	Solaire Femme	148.2
108	NOREVA ACTIPUR GEL NETTOYANT 150ML	NOREVA	Visage Femme	100.75
109	NOREVA EXFOLIAC GEL MOUSSANT INTENSIF VISAGE ET CORPS 200ML	NOREVA	Visage Femme	143.0
110	EUCERIN ATOPICONTROL EMOLLIENT CORPS CALMANT 12% OMEGA PEAU SECHE 250ML	EUCERIN	Corps	176.48
111	ISISPHARMA UVEBLOCK 80 INVISIBLE CREAM 40ML REFERENCE COIVISI019	ISISPHARMA	Solaire Femme	137.48
112	LERO DNV BOITE DE 30 CAPSULES	LERO	Homme , Complement alimentaire Femme	230.0
113	LERO DERM BOITE DE 30 CAPSULES	LERO	Femme	164.5
114	LERO RHU BOITE DE 30 CAPSULES	LERO	Femme	171.5
115	NOREVA EXFOLIAC ACNOMEGA 200 PEAUX A PROBLEMES 30ML	NOREVA	Visage Femme	194.35
116	NOREVA EXFOLIAC LOTION ASSECHANTE 125ML	NOREVA	Corps	197.65
117	KLORANE BEBE SHAMPOOING DOUX DEMELANT 200ML	KLORANE	Espace b̩b̩ et maman	73.0
118	EUCERIN HYALURON FILLER SOIN DE JOUR PEAU SECHE 50ML	EUCERIN	Visage Femme	301.27
119	EUCERIN HYALURON FILLER SOIN DE NUIT 50ML	EUCERIN	Visage Femme	301.27
120	DUCRAY MELASCREEN DEPIGMENTANT SOIN D'ATTAQUE TACHES BRUNES LOCALISEES 30ML	DUCRAY	Visage Femme	233.35
121	DUCRAY NEOPTIDE TRAITEMENT ANTI-CHUTE FEMININE BOITE DE 3 LOTIONS DE 30ML	DUCRAY	Cheveux	426.53
122	KLORANE LAIT D'AVOINE SHAMPOOING 400ML	KLORANE	Homme , Cheveux	109.2
123	STERIMAR HYGIENE NASALE 50ML GOUTTES NASALES	STERIMAR		54.72
124	ACCU-CHEK ACTIVE BANDELETTES BOITE DE 50 	ACCU-CHEK	Homme , Accessoire Femme	170.85
125	LA ROCHE POSAY TOLERIANE DERMO-NETTOYANT 200ML	LA ROCHE POSAY	Visage Femme	116.82
126	GUM BROSSE A DENTS ORTHODONTIQUE REFERENCE 124	GUM	Homme , Dentaire Femme	33.39
127	DUCRAY GEL RUBEFIANT TONIQUE CAPILLAIRE 30ML	DUCRAY	Homme , Cheveux	94.19
128	URIAGE BARIESUN CREME MINERALE SPF50+ 50ML	URIAGE	Solaire Femme , Visage Femme	150.15
129	ELGYDIUM JUNIOR GEL DENTIFRICE 7-12 ANS AROME BUBBLE 50ML	ELGYDIUM	Enfant	37.99
130	ELGYDIUM BROSSE A DENTS CREATION SOUPLE	ELGYDIUM	Homme , Dentaire Femme	35.17
131	ELGYDIUM BROSSE A DENTS VITAL MEDIUM	ELGYDIUM	Homme , Dentaire Femme	35.84
132	ELGYDIUM BROSSE A DENTS VITALE SOUPLE	ELGYDIUM	Homme , Dentaire Femme	35.84
133	ELGYDIUM BROSSE A DENTS MICROBALL MEDIUM	ELGYDIUM	Homme , Dentaire Femme	38.66
134	ELGYDIUM BROSSE A DENTS MICROBALL SOUPLE	ELGYDIUM	Homme , Dentaire Femme	38.73
135	ELGYDIUM BROSSE A DENTS ANTI-PLAQUE SOUPLE	ELGYDIUM	Homme , Dentaire Femme	42.21
136	ELGYDIUM BROSSE A DENTS ANTI-PLAQUE MEDIUM	ELGYDIUM	Homme , Dentaire Femme	42.21
137	ELGYDIUM BROSSE A DENTS XTREM MEDIUM	ELGYDIUM	Homme , Dentaire Femme	37.99
138	ELGYDIUM BROSSE A DENTS SENSITIVE SOUPLE	ELGYDIUM	Homme , Dentaire Femme	36.58
139	ELGYDIUM DENTIFRICE BLANCHEUR 75ML	ELGYDIUM	Homme , Dentaire Femme	40.2
140	AVENT DOSEUR DE LAIT EN POUDRE REFERENCE SCF135/06	AVENT	Espace b̩b̩ et maman	112.86
141	EUCERIN DERMOPURIFYER GEL NETTOYANT 200ML	EUCERIN	Visage Femme	153.07
142	EUCERIN COMPLETE REPAIR EMOLLIENT REPARATEUR 10% UREE 250ML	EUCERIN	Corps	191.1
143	EUCERIN DERMOPURIFYER GOMMAGE 100ML	EUCERIN	Visage Femme	130.65
144	EUCERIN CREME MAINS REPARATRICE 5% UREE PEAU SECHE 75ML	EUCERIN	Corps	73.13
145	EUCERIN COMPLETE REPAIR EMOLLIENT REPARATEUR 5% UREE 250ML	EUCERIN	Corps	194.03
146	EUCERIN SUN PROTECTION SUN CREME FACE SPF50+ DRY SKIN SENSITIVE SKIN 50ML	EUCERIN	Solaire Femme	154.05
147	GUM BUTLER DENTIFRICE PAROEX REFERENCE 1770	GUM	Homme , Dentaire Femme	61.6
148	GUM DENTIFRICE GINGIDEX PREVENTION QUOTIDIENNE 75ML REFERENCE 1755	GUM	Homme , Dentaire Femme	59.85
149	GUM DENTIFRICE KIDS 2-6ANS FRAISE 50ML REFERENCE 3000	GUM	Homme , Dentaire Femme	35.91
150	GUM DENTIFRICE ORIGINAL WHITE REFERENCE 1745	GUM	Homme , Dentaire Femme	67.2
151	SENSODYNE DENTIFRICE ANTI-CARIES 75ML	SENSODYNE	Dentaire Femme	40.8
152	KLORANE BEBE LINGETTES NETTOYANTES DOUCEUR BOITE DE 70	KLORANE	Espace b̩b̩ et maman	99.65
153	NUXE HUILE PRODIGIEUSE OR 50ML	NUXE	Corps	214.5
154	NUXE HUILE PRODIGIEUSE OR 100ML	NUXE	Corps	346.13
155	NUXE HUILE PRODIGIEUSE 50ML	NUXE	Corps , Visage Femme	151.13
156	NUXE MEN GEL DOUCHE MULTI USAGES 200ML	NUXE	Homme	87.75
157	NUXE MEN RASAGE DE REVE GEL DE RASAGE ANTI-IRRITATIONS 150ML	NUXE	Homme	107.25
158	NUXE MEN DEODORANT PROTECTION 24H 50ML	NUXE	Homme	87.75
159	NUXE BRIGHTENING PROGRAM FLUIDE PROTECTEUR ECLAIRCISSANT 100ML	NUXE	Visage Femme	313.3
160	NUXE POUDRE ECLAT PRODIGIEUX 25G	NUXE	Visage Femme	242.78
161	LA ROCHE POSAY ANTHELIOS DERMO-PEDIATRICS SPRAY ENFANTS SPF50+ 125ML	LA ROCHE POSAY	Enfant	188.1
162	FORTE PHARMA ENERGIE ACEROLA BOITE DE 60	FORTE PHARMA	Homme , Complement alimentaire Femme	121.6
163	FORTE PHARMA TURBO DRAINE MINCEUR PECHE 500ML	FORTE PHARMA	Homme , Complement alimentaire Femme	170.85
164	FORTE PHARMA TURBO DRAINE FRAMBOISE 	FORTE PHARMA	Homme , Complement alimentaire Femme	170.85
165	VICHY LIFTACTIV SERUM 10 YEUX ET CILS 15ML	VICHY	Visage Femme	237.6
166	AVENT CREME PROTECTOR MAMELONS 30ML REFERENCE SCF504/30	AVENT	Espace b̩b̩ et maman	140.18
167	AVENE EAU THERMALE SPRAY 150ML	AVENE	Enfant , Homme , Visage Femme	70.53
168	AVENE EAU THERMALE SPRAY 300ML	AVENE	Enfant , Homme , Visage Femme	101.01
169	VICHY LIFTACTIV DERME SOURCE NUIT 50ML	VICHY	Visage Femme	257.4
170	AVENT TETINE +3MOIS CLASSIC BOITE DE 2 REFERENCE SCF635/27	AVENT	Espace b̩b̩ et maman	68.64
171	VICHY HOMME HYDRA MAG C+ SOIN HYDRATANT ANTI-FATIGUE 50ML	VICHY	Homme	162.36
172	AVENE COLD CREAM CREME 40ML	AVENE	Homme , Corps , Visage Femme	80.53
173	VICHY PURETE THERMALE 3EN1 DEMAQUILLANT INTEGRAL PEAU SENSIBLE 200ML	VICHY	Visage Femme	138.6
174	VICHY IDEAL SOLEIL CREME ONCTUEUSE PERFECTRICE DE PEAU SPF50+ 50ML	VICHY	Solaire Femme , Visage Femme	154.44
175	VICHY DERMABLEND FOND DE TEINT FLUIDE CORRECTEUR 16H NUMERO 45 GOLD 30ML	VICHY	Visage Femme	176.22
176	VICHY HOMME DEODORANT VAPORISATEUR ULTRA FRAIS 24H 100ML	VICHY	Homme	110.88
177	VICHY HOMME SENSI BAUME APRES-RASAGE APAISANT 75ML	VICHY	Homme	156.42
178	VICHY DERCOS SEBO-CORRECTEUR SHAMPOOING TRAITANT 200ML	VICHY	Homme , Cheveux	108.9
179	VICHY HOMME DEODORANT ANTI-TRANSPIRANT 72H ROLL-ON 50ML	VICHY	Homme	99.0
180	LA ROCHE POSAY ANTHELIOS XL CREME TEINTEE SANS PARFUM SPF50+ 50ML	LA ROCHE POSAY	Solaire Femme , Visage Femme	154.44
181	LA ROCHE POSAY ANTHELIOS XL GEL-CREME ANTI-BRILLANCE SPF50+ 50ML	LA ROCHE POSAY	Solaire Femme , Visage Femme	154.44
182	LA ROCHE POSAY ANTHELIOS XL FLUIDE MAT TEINTEE ANTI-BRILLANCE SPF50+ 50ML	LA ROCHE POSAY	Solaire Femme , Visage Femme	160.38
183	VICHY DEODORANT ANTI-TRANSPIRANT 48H ANTI TRACES BLANCHES ET JAUNES AEROSOL 125ML	VICHY	Hygiene , Corps	102.96
184	VICHY DEODORANT ANTI-TRANSPIRANT EFFICACITE 48H AEROSOL 125ML	VICHY	Hygiene , Corps	102.96
185	LA ROCHE POSAY TOLERIANE TEINT MOUSSE MATIFIANTE NUMERO 02 BEIGE CLAIR 30ML	LA ROCHE POSAY	Visage Femme	168.3
186	LA ROCHE POSAY TOLERIANE TEINT MOUSSE MATIFIANTE NUMERO 01 IVOIRE 30ML	LA ROCHE POSAY	Visage Femme	168.3
187	VICHY DERCOS NEOGENIC SHAMPOOING REDENSIFIANT 200ML	VICHY	Homme , Cheveux	125.4
188	VICHY DERCOS ANTI-PELLICULAIRE SENSITIVE SHAMPOOING TRAITANT 200ML	VICHY	Homme , Cheveux	114.84
189	AVENE LOTION NETTOYANTE PEAUX INTOLERANTES 200ML	AVENE	Visage Femme	135.72
190	DUCRAY KERACNYL GEL MOUSSANT VISAGE ET CORPS 200ML	DUCRAY	Visage Femme	103.68
191	DUCRAY KELUAL DS CREME APAISANT SQUAMOREDUCTRICE 40ML	DUCRAY	Visage Femme	132.41
192	ADERMA CYTELIUM SPRAY ASSECHANT VISAGE ET CORPS 100ML	ADERMA	Corps , Visage Femme	102.38
193	ADERMA EPITHELIALE AH DUO CREME ULTRA-REPARATRICE 40ML	ADERMA	Visage Femme	102.18
194	ADERMA DERMALIBOUR+ CREME REPARATRICE 50ML	ADERMA	Homme , Corps , Visage Femme	96.2
195	VICHY DEODORANT ANTI-TRANSPIRANT 48H ANTI TRACES BLANCHES ET JAUNES ROLL-ON 50ML	VICHY	Hygiene , Corps	97.02
196	AVENT TETINES CLASSIC+ 1MOIS+ BOITE DE 2 REFERENCE SCF632/27	AVENT	Espace b̩b̩ et maman	62.96
197	KLORANE BEBE EAU FRAICHE PARFUMEE 500ML	KLORANE	Espace b̩b̩ et maman	135.07
198	KLORANE BEURRE DE MANGUE SHAMPOOING 400ML	KLORANE	Cheveux	109.2
199	KLORANE LAIT D'AVOINE SHAMPOOING 200ML	KLORANE	Homme , Cheveux	100.43
200	LA ROCHE POSAY CICAPLAST LEVRES BAUME BARRIERE REPARATEUR 7.5ML	LA ROCHE POSAY	Visage Femme	63.36
201	LA ROCHE POSAY CICAPLAST BAUME B5 BAUME REPARATEUR APAISANT 100ML	LA ROCHE POSAY	Visage Femme	110.88
202	LA ROCHE POSAY CICAPLAST BAUME B5 BAUME REPARATEUR APAISANT 40ML	LA ROCHE POSAY	Visage Femme	59.4
203	KLORANE BEURRE DE MANGUE SHAMPOOING 200ML	KLORANE	Homme , Cheveux	67.53
204	KLORANE ORTIE SHAMPOOING SEBOREGULATEUR 400ML	KLORANE	Cheveux	109.2
205	LA ROCHE POSAY TOLERIANE TEINT FLUIDE NUMERO 11 BEIGE CLAIR 30ML	LA ROCHE POSAY	Visage Femme	168.3
206	LA ROCHE POSAY DEMAQUILLANT YEUX PHYSIOLOGIQUE 125ML	LA ROCHE POSAY	Visage Femme	108.9
207	URIAGE BARIESUN CREME TEINTEE CLAIRE SPF50+ 50ML	URIAGE	Solaire Femme , Visage Femme	150.15
208	VICHY TRAITEMENT CREME ANTI-TRANSPIRANT 7 JOURS 30ML	VICHY	Hygiene , Corps	97.02
209	AVENE TRES HAUTE PROTECTION CREME TEINTEE SPF50+ 50ML	AVENE	Solaire Femme , Visage Femme	159.7
210	AVENE COLD CREAM CREME 100ML	AVENE	Homme , Corps , Visage Femme	155.61
211	URIAGE BARIESUN CREME TEINTEE DOREE SPF50+ 50ML	URIAGE	Solaire Femme , Visage Femme	150.15
212	DUCRAY DIASEPTYL SPRAY PEAUX ABIMEES 125ML	DUCRAY	Corps	76.44
213	LA ROCHE POSAY TOLERIANE TEINT FLUIDE NUMERO 15 DORE 30ML	LA ROCHE POSAY	Visage Femme	168.3
214	LA ROCHE POSAY TOLERIANE TEINT FLUIDE NUMERO 13 BEIGE SABLE 30ML	LA ROCHE POSAY	Visage Femme	168.3
215	LA ROCHE POSAY TOLERIANE TEINT FLUIDE NUMERO 10 IVOIRE 30ML	LA ROCHE POSAY	Visage Femme	168.3
216	URIAGE BARIESUN CREME SANS PARFUM SPF50+ 50ML	URIAGE	Solaire Femme , Visage Femme	150.15
217	GUM DENTIFRICE ORIGINAL WHITE LOT DE 2 REFERENCE 1745	GUM	Homme , Dentaire Femme	78.12
218	DUCRAY CREASTIM LOTION ANTI-CHUTE 30ML BOITE DE 2	DUCRAY	Homme , Cheveux	372.77
219	URIAGE BARIESUN CREME SPF50+ 50ML	URIAGE	Solaire Femme , Visage Femme	150.15
220	URIAGE CREME EXTREME PEAUX INTOLERANTES AU SOLEIL SPF90 50ML	URIAGE	Solaire Femme , Visage Femme	142.35
221	GUM GRATTE-LANGUE HALICONTROL DOUBLE ACTION REFERENCE 760	GUM	Homme , Dentaire Femme	48.79
222	LA ROCHE POSAY EFFACLAR MAT 40ML	LA ROCHE POSAY	Visage Femme	142.56
223	LA ROCHE POSAY CICAPLAST MAINS CREME BARRIERE REPARATRICE 50ML	LA ROCHE POSAY	Corps	81.18
224	LA ROCHE POSAY KERIUM DS CREME 40ML	LA ROCHE POSAY	Visage Femme	128.7
225	AVENT ROBOT CUISEUR VAPEUR ET MIXEUR REFERENCE SCF870/22	AVENT	Espace b̩b̩ et maman	1411.34
226	AVENT BIBERON NATURAL +0MOIS 125ML REFERENCE SCF690/17	AVENT	Espace b̩b̩ et maman	126.72
227	LA ROCHE POSAY TOLERIANE TEINT COMPACT NUMERO 13 BEIGE SABLE	LA ROCHE POSAY	Visage Femme	188.1
228	LA ROCHE POSAY TOLERIANE TEINT COMPACT NUMERO 11 BEIGE CLAIR	LA ROCHE POSAY	Visage Femme	188.1
229	AVENE MASQUE APAISANT HYDRATANT 50ML	AVENE	Visage Femme	155.61
230	GUM BAIN DE BOUCHE ORTHO 300ML REFERENCE 3090	GUM	Homme , Dentaire Femme	65.24
231	GUM BAIN DE BOUCHE ORIGINAL WHITE 300ML REFERENCE 1747	GUM	Homme , Dentaire Femme	65.24
